,Section Text
284,"4[(1)] 5[ 6*** a mortgagee, or any person acting on his behalf, shall, subject to the provisions of this section, have power to sell or ,concur in selling the mortgaged property, or any part thereof, in default of payment of the mortgage-money, without the intervention of the Court, in the following cases and in no others, namely:â€”]
(a) where the mortgage is an English mortgage, and neither the mortgagor nor the mortgagee is a Hindu, Muhammad an or Buddhist 1[or a member of any other race, sect, tribe or class from time to time specified in this behalf by 2[the State Government], in the Official Gazette];
(b) where 3[a power of sale without the intervention of the Court is expressly conferred on the mortgagee by the mortgage-deed, and] the mortgagee is 4[the Government];
(c) where 3[a power of sale without the intervention of the Court is expressly conferred on the mortgagee by the mortgage-deed, and] the mortgaged property or any part thereof 5[was, on the date of the execution of the mortgage-deed,] situate within the towns of Calcutta, Madras, Bombay, 6 *** 7 [or in any other town or area which the State Government may, by notification in the Official Gazette, specifyâ€™ in this behalf].
8[(2)] 9*** No such power shall be exercised unless and untilâ€”
10 [(a)] notice in writing requiring payment of the principal money has been served on the mortgagor, or, one of several mortgagors, and default has been made in payment of the principal money, or of part thereof, for three months after such service; or
11[(b)] some interest under the mortgage amounting at least to five hundred repees is in arrear and unpaid for three months after becoming due.
12[(3)] When a sale has been made in professed exercise of such a power, the title of the purchaser shall not be impeachable on the ground that no case had arisen to authorize the sale, or that due notice was not given, or that the power was otherwise improperly or irregularly 'exercised; but any person damnified by an unauthorised, or improper, or irregular' exercise of the power shall have his remedy in damages against the person exercising the power.
13[(4)] The money which is received by the mortgagee, arising from the sale, after discharge of prior incumbrances, if any, to which the sale is not made subject, or after payment into Court under section 57 of a sum to meet any prior incumbrance, shall, in the absence of a contract to the contrary, be held by him in trust to be applied by him, first, in payment of all costs, charges and expenses properly incurred by him as incident to the sale or any attempted sale; and, secondly, discharge of the mortgage-money and costs and other money, if any, due under the mortgage; and the residue of the money so received shall be paid to the person entitled to the mortgaged property, or authorised to give receipts for the proceeds of the sale thereof.
14[(5) Nothing in this section or in section 69A applies to powers conferred before the first day of July, 1882.]
15* * * * *
"
285,"(1) A mortgagee having the right to exercise a power of sale under section 69 shall, subject to the provisions of sub-section (2),be entitled to appoint, by writing signed by him or on his behalf, a receiver of the income of the mortgaged property or any part thereof.
(2) Any person who has been named in the mortgage-deed and is willing and able to act as receiver may be appointed by the mortgagee.
If no person has been so named, or if all persons named are unable or unwilling to act, or are dead, the mortgagee may appoint any person to whose appointment the mortgagor agrees; failing such agreement, the mortgagee shall be entitled to apply to the Court for the appointment of a receiver, and any person appointed by the Court shall be deemed to have been duly appointed by the mortgagee.
A receiver may at any time be removed by writing signed by or on behalf of the mortgagee and the mortgagor, or by the Court on application made by either party and on due cause shown.
A vacancy in the office of receiver may be filled in accordance with the provisions of this sub-section.
(3) A receiver appointed under the powers conferred by this section shall be deemed to be the agent of the mortgagor; and the mortgagor shall be solely responsible for the receiver's acts or defaults, unless the mortgage-deed otherwise provides or unless such acts or defaults arc due to the improper intervention of the mortgagee.
(4) The receiver shall have power to demand and recover all the income of which he is appointed receiver, by suit, execution or otherwise, in the name either of the mortgagor or of the mortgagee to the full extent of the interest which the mortgagor could dispose of, and to give valid receipts accordingly for the same, and to exercise any powers which may have been delegated to him by the mortgagee in accordance with the provisions of this section.
(5) A person paying money to the receiver shall not be concerned to inquire if the appointment of the receiver was valid or not.
(6) The receiver shall be entitled to retain out of any money received by him, for his remuneration, and in satisfaction of all costs, charges and expenses incurred by him as receiver, a commission at such rate not exceeding five per cent. on the gross amount of all money received as is specified in his appointment, and, if no rate is so specified, then at the rate of five per cent. on that gross amount, or at such other rate as the Court thinks fit to allow, on application made by him for that purpose.
(7) The receiver shall, if so directed in writing by the mortgagee, insure to the extent, if any, to which the mortgagee might have insured, and keep insured against loss or damage by fire, out of the money received by him, the mortgaged property or any part thereof being of an insurable nature.
(8) Subject to the provisions of this act as to the application of insurance money, the receiver shall apply all money received by him as follows, namely:â€”
(i) in discharge of all rents, taxes, land revenue, rates and outgoings whatever affecting the mortgaged property;
(ii) in keeping down all annual sums or other payments, and the interest on all principal sums, having priority to the mortgage in right whereof he is receiver;
(iii) in payment of his commission, and of the premiums on fire, life or other insurances, if any, properly payable under the mortgage-deed or under this Act, and the cost of executing necessary or proper repairs directed in writing by the mortgagee;
(iv) in payment of the interest falling due under the mortgage;
(v) in or towards discharge of the principal money, if so directed in writing by the mortgagee;
and shall pay the residue, if any, of the money received by him to the person who, but for the possession of the receiver, would have been entitled to receive the income of which he is appointed receiver, or who is otherwise entitled to the mortgaged property.
(9) The provisions of sub-section (1) apply only if and as far as a contrary intention is not expressed in the mortgage-deed; and the provisions of sub-sections (3) to (8) inclusive may be varied or extended by the mortgage-deed, and, as so varied or extended, shall, as far as may be, operate in like manner and with all the like incidents, effects and consequences, as if such variations or extensions were contained in the said sub-sections.
(10) Application may be made, without the institution of a suit, to the Court for its opinion, advice or direction on any present question respecting the management or administration of the mortgaged property, other than questions of difficulty or importance not proper in the opinion of the Court for summary disposal. A copy of such application shall be served upon, and the hearing thereof may be attended by, such of the persons interested in the application as the Court may think fit.
The costs of every application under this sub-section shall be in the discretion of the Court.
(11)In this section, â€œthe Courtâ€ means the Court which would have jurisdiction in a suit to enforce the mortgage.]
"
286,"If, after the date of a mortgage, any accession is made to the mortgaged property, the mortgagee, in the absence of a contract to the contrary, shall, for the purposes of the security, be entitled to such accession.
Illustrations
(a) A mortgages to B a certain field bordering on a river. The field is increased by alluvion. For the purposes of his security, B is entitled to the increase.
(b) A mortgages a certain plot of building land to B and afterwards erects a house on the plot. For the purposes of his security, B is entitled to the house as well as the plot.
"
287,"When the mortgaged property is as lease 1***, and the mortgagor obtains a renewal of the lease, the mortgagee, in the absence of a contract to the contrary, shall, for the purposes of the security, be entitled to the new lease.
"
288,"2[A mortgagee] may spend such money as is necessaryâ€”
3* * * * *
(b) for 4[the preservation of the mortgaged property] from destruction, forfeiture or sale;
(c) for supporting the mortgagor's title to the property;
(d) for making his own title thereto good against the mortgagor; and
(e) when the mortgaged property is a renewable lease-hold, for the renewal of the lease;
and may, in the absence of a contract to the contrary, add such money to the principal money, at the rate of interest payable on the principal, and, where no such rate is fixed, at the rate of nine per cent. per annum:
1[Provided that the expenditure of money by the mortgagee under clause (b) or clause (c)shall not be deemed to be necessary unless the mortgagor has been called upon and has failed to take proper and timely steps to preserve the property or to support the title.]
Where the property is by its nature insurable, the mortgagee may also, in the absence of a contract to the contrary, insure and keep insured against loss or damage by fire the whole or any pant of such property; and the premiums paid for any such insurance shall be 2[added to the principal money with interest at the same rate as is payable on the principal money or, where no such rate is fixed, at the rate of nine per cent. per annum]. But the amount of such insurance shall not exceed the amount specified in this behalf in the mortgage-deed or (if no such amount is therein specified) two-thirds of the amount that would be required in case of total destruction to reinstate the property insured.
Nothing in this section shall be deemed to authorise the mortgagee to insure when an insurance of the property is kept up by or on behalf of the mortgagor to the amount in which the mortgagee is hereby authorised to insure.
"
289,"(1)Where the mortgaged property or any part thereof or any interest therein is sold owing to failure to pay arrears of revenue or other charges of a public nature or rent due in respect of such property, and such failure did not arise from any default of the mortgagee, the mortgagee shall be entitled to claim payment of the mortgage-money, in whole or in part, out of any surplus of the sale-proceeds remaining after payment of the arrears and of all charges and deductions directed by law.
(2) Where the mortgaged property or any part thereof or any interest therein is acquired under the Land Acquisition Act, 1894 (1 of 1894), or any other enactment for the time being in force providing for the compulsory acquisition of immoveable property, the mortgagee shall be entitled to claim payment of the mortgage-money, in whole or in part, out of the amount due to the mortgagor as compensation.
(3) Such claims shall prevail against all other claims except those of prior encumbrances, and may be enforced notwithstanding that the principal money on the mortgage has not become due.]
"
290,"[Right of subsequent mortgagee to pay off prior mortgagee.] Rep. by the Transfer of Property (Amendment) Act, 1929 (20 of 1929), s. 39.
"
291,"[Rights of mesne mortgagee against and subsequent mortgagees.] Rep. by s. 39, ibid.
"
292,"When, during the continuance of the mortgage, the mortgagee takes possession of the mortgaged property,â€”
(a) he must manage the property as a person of ordinary prudence would manage it if it were his own;
(b) he must use his best endeavours to collect the rents and profits thereof;
(c) he must, in the absence of a contract to the contrary, out of the income of the property, pay the Government-revenue, all other charges of a public nature 4[and all rent] accruing due in respect thereof during such possession, and any arrears of rent in default of payment of which the- property may be summarily sold;
(d) he must, in the absence of a contract to the contrary, make such necessary repairs of the property as he can pay for out of the rents and profits thereof after deducting from such rents and profits the payments mentioned in clause (c)and the interest on the principal money;
(e) he must not commit any act which is destructive or permanently injurious to the property;
(f) where he has insured the whole or any part of the property against loss or damage by fire, he must, in case of such loss or damage, apply any money which he actually receives under the policy, or. so much thereof as may be necessary, in reinstating the property, or, if the mortgagor so directs, in reduction or discharge of the mortgage-money;
(g) he must keep clear, full and accurate accounts of all sums received and spent by him as mortgagee, and, at any time during the continuance of the mortgage, give the mortgagor, at his request and cost, true copies of such accounts and of the vouchers by which they are supported;
(h) his receipts from the mortgaged property, or, where such property is personally occupied by him. a fair occupation-rent in respect thereof shall, after deducting the expenses 1[properly incurred for the management of the property and the collection of rents and profits and the other expenses] mentioned in clauses (c) and (d), and interest thereon, be debited against him in reduction of the amount (if any) from time to time due to him on account of interest 2*** and, so far as such receipts exceed any interest due, in reduction or discharge of the mortgage-money; the surplus, if any, shall be paid to the mortgagor;
(i) when the mortgagor tenders, or deposits in manner hereinafter provided, the amount for the time being due on the mortgage, the mortgagee must, notwithstanding the provisions in the other clauses .of this section, account for his 3*** receipts from the mortgaged property from the date of the tender or from the earliest time when he could take such amount out of Court, as the case may be [and shall not be entitled to deduct any amount therefrom on account of any expenses incurred after such date or time in connection with the mortgaged property].
Loss occasioned by his default.â€”If the mortgagee fail to perform any of the duties imposed upon him by this section, he may, when accounts are taken in pursuance of a decree made under this Chapter, be debited with the loss, if any, occasioned by such failure.
"
293,"Nothing in section 76, clauses (b), (d), (g) and (h), applies to cases where there is a contract between the mortgagee and the mortgagor that the receipts from the mortgaged property shall, so long as the mortgagee is in possession of the property, be taken in lieu of interest on the principal money, or in lieu of such interest and defined portions of the principal.
"
294,"Where, through the fraud, misrepresentation or gross neglect of a prior mortgagee, another person has been induced to advance money on the security of the mortgaged property, the prior mortgagee shall be postponed to the subsequent mortgagee.
"
295,"If a mortgage made to secure future advances, the performance of an engagement or the balance of a running account, expresses the maximum to be secured thereby, a subsequent mortgage of the same property shall, if made with notice of the prior mortgage, be postponed to the prior mortgage in respect of all advances or debits not exceeding the maximum, though made or allowed with notice of the subsequent mortgage.
Illustration
A mortgages Sultanpur to his bankers, B & Co., to secure the balance of his account with them to the extent of Rs. 10,000. A then mortgages Sultanpur to C, to secure Rs. 10,000; C having notice of the mortgage to B & Co., and C gives notice to B & Co. of the second mortgage. At the date of the second mortgage, the balance due to B & Co. does not exceed Rs. 5,000. B & Co. subsequently advance to A sums making the balance of the account against him exceed the sum of Rs. 10,000. B & Co. are entitled to the extent of Rs. 10,000, to priority over C.
"
296,"[Tacking abolished.] Rep. by the Transfer of Property (Amendment) Act, 1929 (20 of 1929), s. 41.
"
297,"If the owner of two or more properties mortgages them to one person and then mortgages one or more of the properties to another person, the subsequent mortgagee is, in the absence of a contract to the contrary, entitled to have the prior mortgage- debt satisfied out of the property or properties not mortgaged to him, so far as the same will extend, but not so as to prejudice the rights of the prior mortgagee or of any other person who has for consideration acquired an interest in any of the properties.]
"
298,"2[Where property subject to a mortgage belongs to two or more persons having distinct and separate rights of ownership therein, the different shares in or parts of such property owned by such persons are, in the absence of a contract to the contrary, liable to contribute rateably to the debt secured by the mortgage, and, for the purpose of determining the rate at which each such share or part shall contribute, the value thereof shall be deemed to be its value at the date of the mortgage after deduction of the amount of any other mortgage or charge to which it may have been subject on that date.]
Where, of two properties belonging to the same owner, one is mortgaged to secure one debt and then both are mortgaged to secure another debt, and the former debt is paid out of the former property, each property is, in the absence of a contract to the contrary, liable to contribute rateably to the latter debt after deducting the amount of the former debt from the value of the property out of which it has been paid.
Nothing in this section applies to a property liable under section 81 to the claim of the 3[subsequent] mortgagee.
"
299,"At any time after the principal money 4[payable in respect of any mortgage has become due] and before a suit for redemption of the mortgaged property is barred, the mortgagor, or any other person entitled to institute such suit, may deposit, in any Court in which he might have instituted such suit, to the account of the mortgagee, the amount remaining due on the mortgage.
Right to money deposited by mortgagor.â€”The Court shall thereupon cause written notice of the deposit to be served on the mortgagee, and the mortgagee may, on presenting a petition (verified in manner prescribed by 5law for the verification of plaints) stating the amount then due on the mortgage, and his willingness to accept the money so deposited in full discharge of such amount, and-on depositing in the same Court the mortgage-deed 6[and all documents in his possession or power relating to the mortgaged property], apply for and receive the money, and the mortgage-deed, 7[and all such other documents], so deposited hail be delivered to the mortgagor or such other person as aforesaid.
7[Where the mortgagee is in possession of the mortgaged. property, the Court shall, before paying to him the amount so deposited direct him to deliver possession thereof to the mortgagor and at the cost of the mortgagor either to re-transfer the mortgaged property to the mortgagor or to such third person as the mortgagor may direct or to execute and (where the mortgage has been effected by a registered instrument) have registered an acknowledgment in writing that any right in derogation of the mortgagor's interest transferred to the mortgagee has been extinguished.]
"
300,"When the mortgagor or such other person as aforesaid has tendered or deposited in Court under section 83 the amount remaining due on the mortgage, interest on the principal money shall cease from the date of the tender or 1[in the case of a deposit, where no previous tender of such amount has been made,] as soon as the mortgagor or such other person as aforesaid has done all that has to be done by him to enable the mortgagee to take such amount out of Court, 2[and the notice required by section 83 has been served on the mortgagee:
Provided that, where the mortgagor has deposited such amount without having made a previous tender thereof and has subsequently withdrawn the same or any part thereof, interest on the principal money shall be payable from the date of such withdrawal].
Nothing in this section or in section 83 shall be deemed to deprive the mortgagee of his right to interest when there exists a contract that he shall be entitled to reasonable notice before payment or tender of the mortgage-money 3[and such notice has not been given before the making of the tender or deposit, as the case may be].
"
301,"[Parties to suits for foreclosure, sale and redemption] Rep. by the Code of Civil Procedure, 1908 (5 of 1908), s. 156 and the Fifth Schedule.
"
302,"[Decree of foreclosure suit.] Rep. by the Code of Civil Procedure, 1908 (5 of 1908), s. 156 and the Fifth Schedule.
"
303,"[Procedure in case of payment of amount due.] Rep. by s. 156 and the fifth Schedule, ibid.
"
304,"[Decree of sale.] Rep. by s. 156 and the fifth Schedule, ibid.
"
305,"[Procedure when defendant pay amount due.] Rep. by s. 156 and the fifth Schedule, ibid.
"
306,"[Recovery of balance due on mortgage.] Rep. by s. 156 and the fifth Schedule, ibid.
"
307,"Besides the mortgagor, any of the following persons may redeem, or institute a suit for redemption of, the mortgaged property, namely:â€”
(a) any person (other than the mortgagee of the interest sought to be redeemed) who has any interest in, or charge upon, the property mortgaged or in or upon the right to redeem the same;
(b) any surety for the payment of the mortgage-debt or any part thereof; or
(c) any creditor of the mortgagor who has in a suit for the administration of his estate obtained a decree for sale of the mortgaged property.]
"
308,"Any of the persons referred to in section 91 (other than the mortgagor) and any co-mortgagor shall, on redeeming property subject to the mortgage, have, so far as regards redemption, foreclosure or sale of such property, the same rights as the mortgagee whose mortgage he redeems may have against the mortgagor or any other mortgagee.
The right conferred by this section is called the right of subrogation, and a person acquiring the same is said to be subrogated to the rights of the mortgagee whose mortgage he redeems.
A person who has advanced to a mortgagor money with which the mortgage has been redeemed shall be subrogated to the rights of the mortgagee whose mortgage has been redeemed, if the mortgagor has by a registered instrument agreed that such persons shall be so subrogated.
Nothing in this section shall be deemed to confer a right of subrogation on any person unless the mortgage in respect of which the right is claimed has been redeemed in full.
"
309,"No mortgagee paying off a prior mortgage, whether with or without notice of an intermediate mortgage, shall thereby acquire any priority in respect of his original security; and, except in the case provided for by section 79, no mortgagee- making a subsequent advance to the mortgagor, whether with or without notice of an intermediate mortgage, shall thereby acquire any priority in respect of his security for such subsequent advance.
"
310,"Where a property is mortgaged for successive debts to successive mortgagees, a mesne mortgagee has the same rights against mortgagees posterior to himself as he has against the mortgagor.]
"
311,"Where one of several mortgagors redeems the mortgaged property, he shall, in enforcing his right of subrogation under section 92 against his co-mortgagors, be entitled to add to the mortgage-money recoverable from them such proportion of the expenses properly incurred in such redemption as is attributable to their share in the property.
"
312,"The provisions hereinbefore contained which apply to a simple mortgage shall, so far as may be, apply to a mortgage by deposit of title-deeds.]
"
313,"[Application of proceeds.] Rep. by the Code of Civil Procedure, 1908 (5 of 1908), s. 156 and the Fifth Schedule.
"
314,"In the case of 3[an anomalous mortgage] the rights and liabilities of the parties shall be determined by their contract as evidenced in the mortgage-deed, and, so far as such contract does not extend, by local usage.
"
315,"[Attachment of mortgaged property.] Rep. by the Code of Civil Procedure, 1908 (5 of 1908), s. 156 and the Fifth Schedule.
"
316,"Where immoveable property of one person is by act of parties or operation of law made security for the payment of money to another, and the transaction does not amount to a mortgage, the latter person is said to have a charge on the property; and all the provisions hereinbefore contained 5[which apply to a simple mortgage shall, so far as may be, apply to such charge].
Nothing in this section applies to the charge of a trustee on the trust property for expenses properly incurred in the execution of his trust, 6[and, save as otherwise expressly provided by any law for the time being in force, no charge shall be enforced against any property in the hands of a person to whom such property has been transferred for consideration and without notice of the charge].
"
317,"Any mortgagee of, or person having a charge upon, immoveable property, or any transferee from such Mortgagee or charge-holder, may purchase or otherwise acquire the rights in the property of the mortgagor or owner, as the case may be, without thereby causing the mortgage or charge to be merged as between himself and any subsequent mortgagee of, or person having a subsequent charge upon, the same property; and no such subsequent mortgagee or charge-holder shall be entitled to for close or sell such property without redeeming the prior mortgage or charge, or otherwise than subject thereto.]
"
318,"Where the person on or to whom any notice or tender is to be served or made under this Chapter does not reside in the district in which the mortgaged property or some part thereof is situate, service or tender on or to an agent holding a general power-of-attorney from such person or otherwise duly authorised to accept such service or tender shall be deemed sufficient.
1[Where no person or agent on whom such notice should be served can be found or is known] to the person required to serve the notice, the latter person may apply to any Court in which a suit might be brought for redemption of the mortgaged property, and such Court shall direct in what manner such notice shall be served, and any notice served in compliance with such direction shall be deemed Sufficient:
2[Provided that, in the case of a notice required by section 83, in the case of a deposit, the application shall be made to the Court in which the deposit has been made.]
3[Where no person or agent to whom such tender should be made can be found or is known] to the person desiring to make the tender, the latter person may deposit, 4[in any Court in which a suit might be brought for redemption of the mortgaged property] the amount sought to be tendered, and such deposit shall have the effect of a tender of such amount.
"
319,"Where, under the provisions of this Chapter, a notice is to be served on or by, or a tender or deposit made or accepted or taken out of Court by, any person incompetent to contract, such notice may be served 5[on or by], or tender or deposit made, accepted or taken, by the legal curator of the property of such person; but where there is no such curator, and it is requisite or desirable in the interests of such person that a notice should be served or a tender or deposit made under the provisions of this Chapter, application may be made to any Court in which a suit might be brought for the redemption of the mortgage to appoint a guardian ad litem for the purpose of serving or receiving service of such notice, or making or accepting such tender, or making or taking out of Court such deposit, and for the performance of all consequential acts which could or ought to be done by such person if he were competent to contract; and the provisions of 6[Order XXXII in the First Schedule to the Code of Civil Procedure, 1908 (5 of 1908)] shall, so far as may be, apply to such application and to the parties thereto and to the guardian appointed thereunder.
"
320,"The High Court may, from time to time, make rules consistent with this Act for carrying out, in itself and in the Courts of Civil Judicature subject to its superintendence, the provisions contained in this Chapter.
"
321,"A lease of immoveable property is a transfer of a right to enjoy such property, made for a certain time, express or implied, or in perpetuity, in consideration of a price paid or promised, or of money, a share of crops, service or any other thing of value, to be rendered periodically or on specified occasions to the transferor by the transferee, who accepts the transfer on such terms.
Lessor, lessee, premium and rent defined.â€”The transferor is called the lessor, the transferee is called the lessee, the price is called the premium, and the money, share, service or other thing to be so rendered is called the rent.
"
322,"(1) In the absence of a contract or local law or usage to the contrary, a lease of immovable property for agricultural or manufacturing purposes shall be deemed to be a lease from year to year, terminable, on the part of either lessor or lessee, by six monthsâ€™ notice; and a lease of immovable property for any other purpose shall be deemed to be a lease from month to month, terminable, on the part of either lessor or lessee, by fifteen daysâ€™ notice. (2) Notwithstanding anything contained in any other law for the time being in force, the period mentioned in sub-section (1) shall commence from the date of receipt of notice. (3) A notice under sub-section (1) shall not be deemed to be invalid merely because the period mentioned therein falls short of the period specified under that sub-section, where a suit or proceeding is filed after the expiry of the period mentioned in that sub-section. (4) Every notice under sub-section (1) must be in writing, signed by or on behalf of the person giving it, and either be sent by post to the party who is intended to be bound by it or be tendered or delivered personally to such party, or to one of his family or servants at his residence, or (if such tender or delivery is not practicable) affixed to a conspicuous part of the property.]
"
323,"A lease of immoveable property from year to year, or for any term exceeding one year, or reserving a yearly rent, can be made only by a registered instrument. 2[All other leases of immoveable property may be made either by a registered instrument or by oral agreement accompanied by delivery of possession.
3 [Where a lease of immoveable property is made by a registered instrument, such instrument or, where there are more instruments than one, each such instrument shall be executed by both the lessor and the lessee:]
Provided that the State Government may, 4*** from time to time, by notification in the Official Gazette, direct that leases of immoveable property, other than leases from year to year, or for any term exceeding one year, or reserving a yearly rent, or any class of such leases, may be made by unregistered instrument or by oral agreement without delivery of possession.]
"
324,"In the absence of a contract or local usage to the contrary, the lessor and the lessee of immoveable property, as against one another, respectively, possess the rights and are subject to the liabilities mentioned in the rules next following, or such of them as are applicable to the property leased:â€”
(A) Rights and liabilities of the lessor
(a) the lessor is bound to disclose to the lessee any material defect in the property, with reference to its intended use, of which the former is and the latter is not aware, and which the latter could not with ordinary care discover:
(b) the lessor is bound on the lesseeâ€™s request to put him in possession of the property:
(c) the lessor shall be deemed to contract with the lessee that, if the latter pays the rent reserved by the lease and performs the contracts binding on the lessee, he may hold the property during the time limited by the lease without interruption.
The benefit of such contract shall be annexed to and go with the lesseeâ€™s interest as such, and may be enforced by every person in whom that interest is for the whole or any part thereof from time to time vested;
(B) Rights and liabilities of the lessee
(d) if during the continuance of the lease any accession is made to the property, such accession (subject to the law relating to alluvion for the time being in force) shall be deemed to be comprised in the lease:
(e) if by fire, tempest or flood, or violence of an army or of a mob, or other irresistible force, any material part of the property be wholly destroyed or rendered substantially and permanently unfit for the purposes for which it was let, the lease shall, at the option of the lessee, be void:
Provided that, if the injury be occasioned by the wrongful act or default of the lessee, he shall not be entitled to avail himself of the benefit of this provision:
(f) if the lessor neglects to make, within a reasonable time after notice, any repairs which he is bound to make to the property, the lessee may make the same himself, and deduct the expense of such repairs with interest from the rent, or otherwise recover it from the lessor:
(g) if the lessor neglects to make any payment which he is bound to make, and which if not made by him, is recoverable from the lessee or against the property, the lessee may make such payment himself, and deduct it with interest from the rent, or otherwise recover it from the lessor:
(h) the lessee may 1[even after the determination of the lease] remove, at any time 2[whilst he is in possession of the property leased but not afterwards,] all things which he has attached to the earth: provided he leaves the property in the state in which he received it:
(i) when a lease of uncertain duration determines by any means except the fault of the lessee, he or his legal representative is entitled to all the crops planted or sown by the lessee and growing upon the property when the lease determines, and to free ingress and egress to gather and carry them:
(j) the lessee may transfer absolutely or by way of mortgage or sub-lease the whole or any part of his interest in the property, and any transferee of such interest or part may again transfer it. The lessee shall not, by reason only of such transfer, cease to be subject to any of the liabilities attaching to the lease:
nothing in this clause shall be deemed to authorise a tenant having an untransferable right of occupancy, the farmer of an estate in respect of which default has been made in paying revenue, or the lessee of an estate under the management of a Court of Wards, to assign his interest as such tenant, farmer or lessee:
(k) the lessee is bound to disclose to the lessor any fact as to the nature or extent of the interest which the lessee is about to take, of which the lessee is, and the lessor is not, aware, and which materially increases the value of such interest:
(l) the lessee is bound to pay or tender, at the proper time and place, the premium or rent to the lessor or his agent in this behalf:
(m) the lessee is bound to keep, and on the termination of the lease to restore, the property in as good condition as it was in at the time when he was put in possession, subject only to the changes caused by reasonable wear and tear or irresistible force, and to allow the lessor and his agents, at all reasonable times during the term, to enter upon the property and inspect the condition thereof and give or leave notice of any defect in such condition; and, when such defect has been caused by any act or default on the part of the lessee, his servants or agents, he is bound to make it good within three months after such notice has been given or left:
(n) if the lessee becomes aware of any proceeding to recover the property or any part thereof, or of any encroachment made upon, or any interference with, the lessorâ€™s rights concerning such property, he is bound to give, with reasonable diligence, notice thereof to the lessor:
(o) the lessee may use the property and its products (if any) as a person of ordinary prudence would use them if they were his own; but he must not use, or permit another to use, the property for a purpose other than that for which it was leased, or fell 1[or sell] timber, pull down or damage buildings 1[belonging to the lessor or] work mines or quarries not open when the lease was granted, or commit any other act which is destructive or permanently injurious thereto:
(p) he must not, without the lessorâ€™s consent, correct on the property any permanent structure, except for agricultural purposes:
(q) on the determination of the lease, the lessee is bound to put the lessor into possession of the property.
"
325,"If the lessor transfers the property leased, or any part thereof, or any part of his interest therein, the transferee, in the absence of a contract to the contrary, shall possess all the rights and, if the lessee so elects, be subject to all the liabilities of the lessor as to the property or part transferred so long as he is the owner of it; but the lessor shall not, by reason only of such transfer, cease to be subject to any of the liabilities imposed upon him by the lease, unless the lessee elects to treat the transferee as the person liable to him:
Provided that the transferee is not entitled to arrears of rent due before the transfer, and that, if the lessee, not having reason to believe that such transfer has been made, pays rent to the lessor, the lessee shall not be liable to pay such rent over again to the transferee.
The lessor, the transferee and the lessee may determine what proportion of the premium or rent reserved by the lease is payable in respect of the part so transferred, and, in case they disagree, such determination may be made by any Court having jurisdiction to entertain a suit for the possession of the property leased.
"
326,"Where the time limited by a lease of immoveable property is expressed as commencing from a particular day, in computing that time such day shall be excluded. Where no day of commencement is named, the time so limited begins from the making of the lease.
Duration of lease for a year.â€”Where the time so limited is a year or a number of years, in the absence of an express agreement to the contrary, the lease shall last during the whole anniversary of the day from which such time commences.
Option to determine lease.â€”Where the time so limited is expressed to be terminable before its expiration, and the lease omits to mention at whose option it is so terminable, the lessee, and not the lessor, shall have such option.
"
327,"A lease of immoveable property determinesâ€”
(a) by efflux of the time limited thereby:
(b) where such time is limited conditionally on the happening of some eventâ€”by the happening of such event:
(c) where the interest of the lessor in the property terminates on, or his power to dispose of the same extends only to, the happening of any eventâ€”by the happening of such event:
(d) in case the interests of the lessee and the lessor in the whole of the property become vested at the same time in one person in the same right:
(e) by express surrender; that is to say, in case the lessee yields up his interest under the lease to the lessor, by mutual agreement between them:
(f) by implied surrender:
(g) by forfeiture; that is to say, (1)in case the lessee breaks an express condition which provides that, on breach thereof, the lessor may re-enter 1***; or (2) in case the lessee renounces his character as such by setting up a title in a third person or by claiming title in himself; 2[or (3) the lessee is adjudicated an insolvent and the lease provides that the lessor may re-enter on the happening of such event]; and in 1[any of these cases] the lessor or his transferee 2[gives notice in writing to the lessee of] his intention to determine the lease:
(h) on the expiration of a notice to determine the lease, or to quit, or of intention to quit, the property leased, duly given by one party to the other.
Illustration to clause (f)
A lessee accepts fro m his lessor a new lease o f the property leased, to take effect during the continuance o f th e existin g lease. This is an implied surrender o f the former lease, and su ch lease determines thereupon.
"
328,"A forfeiture under section 111, clause (g) is waived by acceptance of rent which has become due since the forfeiture, or by distress for such rent, or by any other act on the part of the lessor showing an intention to treat the lease as subsisting:
Provided that the lessor is aware that the forfeiture has been incurred:
Provided also that, where rent is accepted after the institution of a suit to eject the lessee on the ground of forfeiture; such acceptance is not a waiver.
"
329,"A notice given under section 111, clause (h), is waived, with the express or implied consent of the person to whom it is given, by any act on the part of the person giving it showing an intention to treat the lease as subsisting.
Illustrations
(a) A, the lessor, gives B, the lessee, notice to quit the property leased. The notice expires, B tenders, and A accepts, rent which has become due in respect of the property since the expiration of the notice. The notice is waived.
(b) A, the lessor, gives B, the lessee, notice to quit the property leased. The notice expires, and B remains in possession. A gives to B as lessee a second notice to quit. The first notice is waived.
"
330,"Where a lease of immoveable property has determined by forfeiture for non-payment of rent, and the lessor sues to eject the lessee, if, at the hearing of the suit, the lessee pays or tenders to the lessor the rent in arrear, together with interest thereon and his full costs of the suit, or gives such security as the Court thinks sufficient for making such payment within fifteen days, the Court may, in lieu of making a decree for ejectment, pass an order relieving the lessee against the forfeiture; and thereupon the lessee shall hold the property leased as if the forfeiture had not occurred.
"
