Name of statute,Section Number,Section Title,Section Text,
"THE INCOME-TAX ACT, 1961",Section 1.,"Short title, extent and commencement.","(1) This Act may be called the Income-tax Act, 1961.
(2) It extends to the whole of India.
(3) Save as otherwise provided in this Act, it shall come into force on the 1st day of April, 1962.
",
"THE INCOME-TAX ACT, 1961",Section 2.,Definitions.,"",
"
THE INCOME-TAX ACT"," 1961""",Section 3.,â€œPrevious yearâ€ defined.,"For the purposes of this Act, â€œprevious yearâ€ means the financial year immediately preceding the assessment year:
Provided that, in the case of a business or profession newly set up, or a source of income newly coming into existence, in the said financial year, the previous year shall be the period beginning with the date of setting up of the business or profession or, as the case may be, the date on which the source of income newly comes into existence and ending with the said financial year.]
"
"THE INCOME-TAX ACT, 1961",Section 4.,Charge of income-tax.,"(1) Where any Central Act enacts that income-tax shall be charged for any assessment year at any rate or rates, income-tax at that rate or those rates shall be charged for that year in accordance with, and 3[subject to the provisions (including provisions for the levy of additional income-tax) of, this Act] in respect of the total income of the previous year 4***of every person:
Provided that where by virtue of any provision of this Act income-tax is to be charged in respect of the income of a period other than the previous year, income-tax shall be charged accordingly.
(2) In respect of income chargeable under sub-section (1), income-tax shall be deducted at the source or paid in advance, where it is so deductible or payable under any provision of this Act.
",
"THE INCOME-TAX ACT, 1961",Section 5.,Scope of total income.,"(1) Subject to the provisions of this Act, the total income of any previous year of a person who is a resident includes all income from whatever source derived whichâ€”
(a) is received or is deemed to be received in India in such year by or on behalf of such person; or
(b) accrues or arises or is deemed to accrue or arise to him in India during such year; or
(c) accrues or arises to him outside India during such year:
Provided that, in the case of a person not ordinarily resident in India within the meaning of sub-section (6) of section 6, the income which accrues or arises to him outside India shall not be so included unless it is derived from a business controlled in or a profession set up in India.
(2) Subject to the provisions of this Act, the total income of any previous year of a person who is a non-resident includes all income from whatever source derived whichâ€”
(a) is received or is deemed to be received in India in such year by or on behalf of such person; or
(b) accrues or arises or is deemed to accrue or arise to him in India during such year.
Explanation 1.â€”Income accruing or arising outside India shall not be deemed to be received in India within the meaning of this section by reason only of the fact that it is taken into account in a balance sheet prepared in India.
Explanation 2.â€”For the removal of doubts, it is hereby declared that income which has been included in the total income of a person on the basis that it has accrued or arisen or is deemed to have accrued or arisen to him shall not again be so included on the basis that it is received or deemed to be received by him in India.
",
"THE INCOME-TAX ACT, 1961",Section 5A.,Apportionment of income between spouses governed by Portuguese Civil Code.,"(1) Where the husband and wife are governed by the system of community of property (known under the Portuguese Civil Code of 1860 as â€œCOMMUNIAO DOS BENSâ€) in force in the State of Goa and in the Union territories of Dadra and Nagar Haveli and Daman and Diu, the income of the husband and of the wife under any head of income shall not be assessed as that of such community of property (whether treated as an association of persons or a body of individuals), but such income of the husband and of the wife under each head of income (other than under the head â€œSalariesâ€) shall be apportioned equally between the husband and the wife and the income so apportioned shall be included separately in the total income of the husband and of the wife respectively, and the remaining provisions of this Act shall apply accordingly.
(2) Where the husband or, as the case may be, the wife governed by the aforesaid system of community of property has any income under the head â€œSalariesâ€, such income shall be included in the total income of the spouse who has actually earned it.]
",
"THE INCOME-TAX ACT, 1961",Section 6.,Residence in India.,"For the purposes of this Act,â€”
(1) An individual is said to be resident in India in any previous year, if heâ€”
(a) is in India in that year for a period or periods amounting in all to one hundred and eighty- two days or more; or
2* * * * *
(c) having within the four years preceding that year been in India for a period or periods amounting in all to three hundred and sixty-five days or more, is in India for a period or periods amounting in all to sixty days or more in that year.
3[Explanation 4[1].â€”In the case of an individual,â€”
(a) being a citizen of India, who leaves India in any previous year 5[as a member of the crew of an Indian ship as defined in clause (18) of section 3 of the Merchant Shipping Act, 1958 (44 of 1958), or] for the purposes of employment outside India, the provisions of sub-clause (c) shall apply in relation to that year as if for the words â€œsixty daysâ€, occurring therein, the words â€œone hundred and eighty-two daysâ€ had been substituted;
(b) being a citizen of India, or a person of Indian origin within the meaning of Explanation to clause (e) of section 115C, who, being outside India, comes on a visit to India in any previous year, the provisions of sub-clause (c) shall apply in relation to that year as if for the words â€œsixty daysâ€, occurring therein, the words â€œone hundred and 6[eighty-two] daysâ€ had been substituted.]
7[Explanation 2.â€”For the purposes of this clause, in the case of an individual, being a citizen of India and a member of the crew of a foreign bound ship leaving India, the period or periods of stay in India shall, in respect of such voyage, be determined in the manner and subject to such conditions as may be prescribed.]
(2) A Hindu undivided family, firm or other association of persons is said to be resident in India in any previous year in every case except where during that year the control and management of its affairs is situated wholly outside India.
1[(3) A company is said to be a resident in India in any previous year, ifâ€”
(i) it is an Indian company; or
(ii) its place of effective management, in that year, is in India.
Explanation.â€”For the purposes of this clause â€œplace of effective managementâ€ means a place where key management and commercial decisions that are necessary for the conduct of business of an entity as a whole are, in substance made.]
(4) Every other person is said to be resident in India in any previous year in every case, except where during that year the control and management of his affairs is situated wholly outside India.
(5) If a person is resident in India in a previous year relevant to an assessment year in respect of any source of income, he shall be deemed to be resident in India in the previous year relevant to the assessment year in respect of each of his other sources of income.
2[(6) A person is said to be â€œnot ordinarily residentâ€ in India in any previous year if such person isâ€”
(a) an individual who has been a non-resident in India in nine out of the ten previous years preceding that year, or has during the seven previous years preceding that year been in India for a period of, or periods amounting in all to, seven hundred and twenty-nine days or less; or
(b) a Hindu undivided family whose manager has been a non-resident in India in nine out of the ten previous years preceding that year, or has during the seven previous years preceding that year been in India for a period of, or periods amounting in all to, seven hundred and twenty-nine days or less.]
",
"THE INCOME-TAX ACT, 1961",Section 7.,Income deemed to be received.,"The following incomes shall be deemed to be received in the previous year:â€”
(i) the annual accretion in the previous year to the balance at the credit of an employee participating in a recognised provident fund, to the extent provided in rule 6 of Part A of the Fourth Schedule;
(ii) the transferred balance in a recognised provident fund, to the extent provided in sub-rule (4) of rule 11 of Part A of the Fourth Schedule;
3[(iii) the contribution made, by the Central Government 4[or any other employer] in the previous year, to the account of an employee under a pension scheme referred to in section 80CCD.]
",
"THE INCOME-TAX ACT, 1961",Section 8.,Dividend income.,"5[For the purposes of inclusion in the total income of an assessee,â€”
(a) any dividend] declared by a company or distributed or paid by it within the meaning of sub-clause (a) or sub-clause (b) or sub-clause (c) or sub-clause (d) or sub-clause (e) of clause (22) of section 2 shall be deemed to be the income of the previous year in which it is so declared, distributed or paid, as the case may be;
6[(b) any interim dividend shall be deemed to be the income of the previous year in which the amount of such dividend is unconditionally made available by the company to the member who is entitled to it.]
",
"THE INCOME-TAX ACT, 1961",Section 9.,Income deemed to accrue or arise in India.,"(1) The following incomes shall be deemed to accrue or arise in India:â€”
(i) all income accruing or arising, whether directly or indirectly, through or from any business connection in India, or through or from any property in India, or through or from any asset or source of income in India, 1*** or through the transfer of a capital asset situate in India.
Explanation 2[1].â€”For the purposes of this clauseâ€”
(a) in the case of a business of which all the operations are not carried out in India, the income of the business deemed under this clause to accrue or arise in India shall be only such part of the income as is reasonably attributable to the operations carried out in India;
(b) in the case of a non-resident, no income shall be deemed to accrue or arise in India to him through or from operations which are confined to the purchase of goods in India for the purpose of export;
3* * * * *
4[(c) in the case of a non-resident, being a person engaged in the business of running a news agency or of publishing newspapers, magazines or journals, no income shall be deemed to accrue or arise in India to him through or from activities which are confined to the collection of news and views in India for transmission out of India;]
no income shall be deemed to accrue or arise in India to such individual, firm or company through or from operations which are confined to the shooting of any cinematograph film in India;]
6[(e) in the case of a foreign company engaged in the business of mining of diamonds, no income shall be deemed to accrue or arise in India to it through or from the activities which are confined to the display of uncut and unassorted diamond in any special zone notified by the Central Government in the Official Gazette in this behalf.]
7[Explanation 2.â€”For the removal of doubts, it is hereby declared that â€œbusiness connectionâ€ shall include any business activity carried out through a person who, acting on behalf of the non- resident,â€”
(b) has no such authority, but habitually maintains in India a stock of goods or merchandise from which he regularly delivers goods or merchandise on behalf of the non-resident; or
(c) habitually secures orders in India, mainly or wholly for the non-resident or for that non-resident and other non-residents controlling, controlled by, or subject to the same common control, as that non-resident:
Provided that such business connection shall not include any business activity carried out through a broker, general commission agent or any other agent having an independent status, if such broker, general commission agent or any other agent having an independent status is acting in the ordinary course of his business:
Provided further that where such broker, general commission agent or any other agent works mainly or wholly on behalf of a non-resident (hereafter in this proviso referred to as the principal non-resident) or on behalf of such non-resident and other non-residents which are controlled by the principal non-resident or have a controlling interest in the principal non-resident or are subject to the same common control as the principal non-resident, he shall not be deemed to be a broker, general commission agent or an agent of an independent status.
2[Explanation 2A.â€“â€“For the removal of doubts, it is hereby clarified that the significant economic presence of a non-resident in India shall constitute â€œbusiness connectionâ€ in India and â€œsignificant economic presenceâ€ for this purpose, shall meanâ€“â€“
(a) transaction in respect of any goods, services or property carried out by a non-resident in India including provision of download of data or software in India, if the aggregate of payments arising from such transaction or transactions during the previous year exceeds such amount as may be prescribed; or
(b) systematic and continuous soliciting of business activities or engaging in interaction with such number of users as may be prescribed, in India through digital means:
Explanation 3.â€”Where a business is carried on in India through a person referred to in clause (a) or clause (b) or clause (c) of Explanation 2, only so much of income as is attributable to the operations carried out in India shall be deemed to accrue or arise in India.]
1[Explanation 4.â€”For the removal of doubts, it is hereby clarified that the expression â€œthroughâ€ shall mean and include and shall be deemed to have always meant and included â€œby means ofâ€, â€œin consequence ofâ€ or â€œby reason ofâ€.
Explanation 5.â€”For the removal of doubts, it is hereby clarified that an asset or a capital asset being any share or interest in a company or entity registered or incorporated outside India shall be deemed to be and shall always be deemed to have been situated in India, if the share or interest derives, directly or indirectly, its value substantially from the assets located in India:]
2[Provided that nothing contained in this Explanation shall apply to an asset or capital asset, which is held by a non-resident by way of investment, directly or indirectly, in a Foreign Institutional Investor as referred to in clause (a) of the Explanation to section 115AD for an assessment year commencing on or after the 1st day of April, 2012 but before the 1st day of April, 2015:]
3[Provided further that nothing contained in this Explanation shall apply to an asset or capital asset, which is held by a non-resident by way of investment, directly or indirectly, in Category-I or Category-II foreign portfolio investor under the Securities and Exchange Board of India (Foreign Portfolio Investors) Regulations, 2014, made under the Securities and Exchange Board of India Act, 1992.]
4[Explanation 6.â€”For the purposes of this clause, it is hereby declared thatâ€”
(b) the value of an asset shall be the fair market value as on the specified date, of such asset without reduction of liabilities, if any, in respect of the asset, determined in such manner as may be prescribed;
(c) â€œaccounting periodâ€ means each period of twelve months ending with the 31st day of March:
then, the period of twelve months ending with the other day shall be the accounting period of the company or, as the case may be, the entity:
Provided further that the first accounting period of the company or, as the case may be, the entity shall begin from the date of its registration or incorporation and end with the 31st day of March or such other day, as the case may be, following the date of such registration or incorporation, and the later accounting period shall be the successive periods of twelve months:
Provided also that if the company or the entity ceases to exist before the end of accounting period, as aforesaid, then, the accounting period shall end immediately before the company or, as the case may be, the entity, ceases to exist;
(d) â€œspecified dateâ€ means theâ€”
(i) date on which the accounting period of the company or, as the case may be, the entity ends preceding the date of transfer of a share or an interest; or
(ii) date of transfer, if the book value of the assets of the company or, as the case may be, the entity on the date of transfer exceeds the book value of the assets as on the date referred to in sub-clause (i), by fifteen per cent.
Explanation 7.â€”For the purposes of this clause,â€”
(b) in a case where all the assets owned, directly or indirectly, by a company or, as the case may be, an entity referred to in the Explanation 5, are not located in India, the income of the non-resident transferor, from transfer outside India of a share of, or interest in, such company or entity, deemed to accrue or arise in India under this clause, shall be only such part of the income as is reasonably attributable to assets located in India and determined in such manner as may be prescribed;
(c) â€œassociated enterpriseâ€ shall have the meaning assigned to it in section 92A;]
(ii) income which falls under the head â€œSalariesâ€, if it is earned in India.
1[Explanation.â€”For the removal of doubts, it is hereby declared that the income of the nature referred to in this clause payable forâ€”
(a) service rendered in India; and
(b) the rest period or leave period which is preceded and succeeded by services rendered in India and forms part of the service contract of employment,
shall be regarded as income earned in India;]
(iii) income chargeable under the head â€œSalariesâ€ payable by the Government to a citizen of India for service outside India;
(iv) a dividend paid by an Indian company outside India;
1[(v) income by way of interest payable byâ€”
(a) the Government; or
(b) a person who is a resident, except where the interest is payable in respect of any debt incurred, or moneys borrowed and used, for the purposes of a business or profession carried on by such person outside India or for the purposes of making or earning any income from any source outside India; or
(c) a person who is a non-resident, where the interest is payable in respect of any debt incurred, or moneys borrowed and used, for the purposes of a business or profession carried on by such person in India ;
2[Explanation.â€”For the purposes of this clause,â€”
(a) it is hereby declared that in the case of a non-resident, being a person engaged in the business of banking, any interest payable by the permanent establishment in India of such non-resident to the head office or any permanent establishment or any other part of such non-resident outside India shall be deemed to accrue or arise in India and shall be chargeable to tax in addition to any income attributable to the permanent establishment in India and the permanent establishment in India shall be deemed to be a person separate and independent of the non-resident person of which it is a permanent establishment and the provisions of the Act relating to computation of total income, determination of tax and collection and recovery shall apply accordingly;
(b) â€œpermanent establishmentâ€ shall have the meaning assigned to it in clause (iiia) of section 92F;]
(vi) income by way of royalty payable byâ€”
(a) the Government; or
(b) a person who is a resident, except where the royalty is payable in respect of any right, property or information used or services utilised for the purposes of a business or profession carried on by such person outside India or for the purposes of making or earning any income from any source outside India; or
(c) a person who is a non-resident, where the royalty is payable in respect of any right, property or information used or services utilised for the purposes of a business or profession carried on by such person in India or for the purposes of making or earning any income from any source in India:
Provided that nothing contained in this clause shall apply in relation to so much of the income by way of royalty as consists of lump sum consideration for the transfer outside India of, or the imparting of information outside India in respect of, any data, documentation, drawing or specification relating to any patent, invention, model, design, secret formula or process or trade mark or similar property, if such income is payable in pursuance of an agreement made before the 1st day of April, 1976, and the agreement is approved by the Central Government:
1[Provided further that nothing contained in this clause shall apply in relation to so much of the income by way of royalty as consists of lump sum payment made by a person, who is a resident, for the transfer of all or any rights (including the granting of a licence) in respect of computer software supplied by a non-resident manufacturer along with a computer or computer-based equipment under any scheme approved under the Policy on Computer Software Export, Software Development and Training, 1986 of the Government of India.] Explanation 1.â€”For the purposes of the 2[first proviso], an agreement made on or after the 1st day of April, 1976, shall be deemed to have been made before that date if the agreement is made in accordance with proposals approved by the Central Government before that date; so, however, that, where the recipient of the income by way of royalty is a foreign company, the agreement shall not be deemed to have been made before that date unless, before the expiry of the time allowed under sub- section (1) or sub-section (2) of section 139 (whether fixed originally or on extension) for furnishing the return of income for the assessment year commencing on the 1st day of April, 1977, or the assessment year in respect of which such income first becomes chargeable to tax under this Act, whichever assessment year is later, the company exercises an option by furnishing a declaration in writing to the 3[Assessing Officer] (such option being final for that assessment year and for every subsequent assessment year) that the agreement may be regarded as an agreement made before the 1st day of April, 1976.
Explanation 2.â€”For the purposes of this clause, â€œroyaltyâ€ means consideration (including any lump sum consideration but excluding any consideration which would be the income of the recipient chargeable under the head â€œCapital gainsâ€) forâ€”
(i) the transfer of all or any rights (including the granting of a licence) in respect of a patent, invention, model, design, secret formula or process or trade mark or similar property;
(ii) the imparting of any information concerning the working of, or the use of, a patent, invention, model, design, secret formula or process or trade mark or similar property;
(iii) the use of any patent, invention, model, design, secret formula or process or trade mark or similar property;
(iv) the imparting of any information concerning technical, industrial, commercial or scientific knowledge, experience or skill;
4[(iva) the use or right to use any industrial, commercial or scientific equipment but not including the amounts referred to in section 44BB;]
(v) the transfer of all or any rights (including the granting of a licence) in respect of any copyright, literary, artistic or scientific work including films or video tapes for use in connection with television or tapes for use in connection with radio broadcasting, but not including consideration for the sale, distribution or exhibition of cinematographic films; or
(vi) the rendering of any services in connection with the activities referred to in sub-clauses (i) to (iv), (iva) and (v).
5[Explanation 3.â€”For the purposes of this clause, â€œcomputer softwareâ€ means any computer programme recorded on any disc, tape, perforated media or other information storage device and includes any such programme or any customized electronic data.]
6[Explanation 4.â€”For the removal of doubts, it is hereby clarified that the transfer of all or any rights in respect of any right, property or information includes and has always included transfer of all or any right for use or right to use a computer software (including granting of a licence) irrespective of the medium through which such right is transferred.
Explanation 5.â€”For the removal of doubts, it is hereby clarified that the royalty includes and has always included consideration in respect of any right, property or information, whether or notâ€”
(a) the possession or control of such right, property or information is with the payer;
(b) such right, property or information is used directly by the payer;
(c) the location of such right, property or information is in India.]
Explanation 6.â€”For the removal of doubts, it is hereby clarified that the expression â€œprocessâ€ includes and shall be deemed to have always included transmission by satellite (including up-linking, amplification, conversion for down-linking of any signal), cable, optic fibre or by any other similar technology, whether or not such process is secret;]
(vii) income by way of fees for technical services payable byâ€”
(a) the Government; or
(b) a person who is a resident, except where the fees are payable in respect of services utilised in a business or profession carried on by such person outside India or for the purposes of making or earning any income from any source outside India; or
(c) a person who is a non-resident, where the fees are payable in respect of services utilised in a business or profession carried on by such person in India or for the purposes of making or earning any income from any source in India:
1[Provided that nothing contained in this clause shall apply in relation to any incomebyway of fees for technical services payable in pursuance of an agreement made before the 1st day of April, 1976, and approved by the Central Government.]
2[Explanation 1.â€”For the purposes of the foregoing proviso, an agreement made on or after the 1st day of April, 1976, shall be deemed to have been made before that date if the agreement is made in accordance with proposals approved by the Central Government before that date.]
Explanation 3[2].â€”For the purposes of this clause, â€œfees for technical servicesâ€ means any consideration (including any lump sum consideration) for the rendering of any managerial, technical or consultancy services (including the provision of services of technical or other personnel) but does not include consideration for any construction, assembly, mining or like project undertaken by the recipient or consideration which would be income of the recipient chargeable under the head â€œSalariesâ€.
(2) Notwithstanding anything contained in sub-section (1), any pension payable outside India to a person residing permanently outside India shall not be deemed to accrue or arise in India, if the pension is payable to a person referred to in article 314 of the Constitution or to a person who, having been appointed before the 15th day of August, 1947, to be a Judge of the Federal Court or of a High Court within the meaning of the Government of India Act, 1935, continues to serve on or after the commencement of the Constitution as a Judge in India.
Explanation.â€”For the removal of doubts, it is hereby declared that for the purposes of this section, income of a non-resident shall be deemed to accrue or arise in India under clause (v) or clause (vi) or clause (vii) of sub-section (1) and shall be included in the total income of the non-resident, whether or not,â€”
(i) the non-resident has a residence or place of business or business connection in India; or
(ii) the non-resident has rendered services in India.
",
"THE INCOME-TAX ACT, 1961",Section 9A.,Certain activities not to constitute business connection in India.,"(1) Notwithstanding anything contained in sub-section (1) of section 9 and subject to the provisions of this section, in the case of an eligible investment fund, the fund management activity carried out through an eligible fund manager acting on behalf of such fund shall not constitute business connection in India of the said fund.
(2) Notwithstanding anything contained insection 6, an eligible investment fund shall not be said to be resident in India for the purpose of that section merely because the eligible fund manager, undertaking fund management activities on its behalf, is situated in India.
(3) The eligible investment fund referred to in sub-section (1), means a fund established or incorporated or registered outside India, which collects funds from its members for investing it for their benefit and fulfils the following conditions, namely:â€”
(a) the fund is not a person resident in India;
(b) the fund is a resident of a country or a specified territory with which an agreement referred to in sub-section (1) of section 90 or sub-section (1) ofsection 90A has been entered into 2[or is established or incorporated or registered in a country or a specified territory notified by the Central Government in this behalf];
(c) the aggregate participation or investment in the fund, directly or indirectly, by persons resident in India does not exceed five per cent. of the corpus of the fund;
(d) the fund and its activities are subject to applicable investor protection regulations in the country or specified territory where it is established or incorporated or is a resident;
(e) the fund has a minimum of twenty-five members who are, directly or indirectly, not connected persons;
(f) any member of the fund along with connected persons shall not have any participation interest, directly or indirectly, in the fund exceeding ten per cent.;
(g) the aggregate participation interest, directly or indirectly, of ten or less members along with their connected persons in the fund, shall be less than fifty per cent.;
(h) the fund shall not invest more than twenty per cent. of its corpus in any entity;
(i) the fund shall not make any investment in its associate entity;
(j) the monthly average of the corpus of the fund shall not be less than one hundred crore rupees:
Provided that if the fund has been established or incorporated in the previous year, the corpus of fund shall not be less than one hundred crore rupees at the end of such previous year:
3[Provided further that nothing contained in this clause shall apply to a fund which has been wound up in the previous year;]
(k) the fund shall not carry on or control and manage, directly or indirectly, any business in India 4***;
(l) the fund is neither engaged in any activity which constitutes a business connection in India nor has any person acting on its behalf whose activities constitute a business connection in India other than the activities undertaken by the eligible fund manager on its behalf;
(m) the remuneration paid by the fund to an eligible fund manager in respect of fund management activity undertaken by him on its behalf is not less than the armâ€™s length price of the said activity:
Provided that the conditions specified in clauses (e), (f) and (g) shall not apply in case of an investment fund set up by the Government or the Central Bank of a foreign State or a sovereign fund, or such other fund as the Central Government may subject to conditions, if any, by notification in the Official Gazette, specify in this behalf.
(4) The eligible fund manager, in respect of an eligible investment fund, means any person who is engaged in the activity of fund management and fulfils the following conditions, namely:â€”
(a) the person is not an employee of the eligible investment fund or a connected person of the fund;
(b) the person is registered as a fund manager or an investment advisor in accordance with the specified regulations;
(c) the person is acting in the ordinary course of his business as a fund manager;
(d) the person along with his connected persons shall not be entitled, directly or indirectly, to more than twenty per cent. of the profits accruing or arising to the eligible investment fund from the transactions carried out by the fund through the fund manager.
(5) Every eligible investment fund shall, in respect of its activities in a financial year, furnish within ninety days from the end of the financial year, a statement in the prescribed form, to the prescribed income-tax authority containing information relating to the fulfilment of the conditions specified in this section and also provide such other relevant information or documents as may be prescribed.
(6) Nothing contained in this section shall apply to exclude any income from the total income of the eligible investment fund, which would have been so included irrespective of whether the activity of the eligible fund manager constituted the business connection in India of such fund or not.
(7) Nothing contained in this section shall have any effect on the scope of total income or determination of total income in the case of the eligible fund manager.
(8) The provisions of this section shall be applied in accordance with such guidelines and in such manner as the Board may prescribe in this behalf.
(9) For the purposes of this section,â€”
(a) â€œassociateâ€ means an entity in which a director or a trustee or a partner or a member or a fund manager of the investment fund or a director or a trustee or a partner or a member of the fund manager of such fund, holds, either individually or collectively, share or interest, being more than fifteen per cent. of its share capital or interest, as the case may be;
(b) â€œconnected personâ€ shall have the meaning assigned to it in clause (4) of section 102;
(c) â€œcorpusâ€ means the total amount of funds raised for the purpose of investment by the eligible investment fund as on a particular date;
(d) â€œentityâ€ means any entity in which an eligible investment fund makes an investment;
(e) â€œspecified regulationsâ€ means the Securities and Exchange Board of India (Portfolio Managers) Regulations, 1993 or the Securities and Exchange Board of India (Investment Advisers) Regulations, 2013, or such other regulations made under the Securities and Exchange Board of India Act, 1992 (15 of 1992), which may be notified by the Central Government under this clause.]
",
"THE INCOME-TAX ACT, 1961",Section 10.,Incomes not included in total income.,"",
